name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Actinomycetes	1760	C	22823	428	23251	0.49423
Acidimicrobiia	84992	C	170	8	178	0.00378
Thermoleophilia	1497346	C	100	5	105	0.00223
Coriobacteriia	84998	C	53	8	61	0.00130
Rubrobacteria	84995	C	32	0	32	0.00068
Nitriliruptoria	908620	C	24	1	25	0.00053
Bacilli	91061	C	4055	314	4369	0.09287
Clostridia	186801	C	1190	45	1235	0.02625
Erysipelotrichia	526524	C	87	8	95	0.00202
Negativicutes	909932	C	32	0	32	0.00068
Deinococci	188787	C	106	0	106	0.00225
Cyanophyceae	3028117	C	93	1	94	0.00200
Mollicutes	31969	C	10	3	13	0.00028
Alphaproteobacteria	28211	C	4818	48	4866	0.10343
Gammaproteobacteria	1236	C	3713	1083	4796	0.10194
Betaproteobacteria	28216	C	1737	254	1991	0.04232
Cytophagia	768503	C	458	3	461	0.00980
Flavobacteriia	117743	C	269	6	275	0.00585
Bacteroidia	200643	C	175	13	188	0.00400
Sphingobacteriia	117747	C	80	9	89	0.00189
Chitinophagia	1853228	C	68	0	68	0.00145
Rhodothermia	1853222	C	25	1	26	0.00055
Gemmatimonadetes	219685	C	25	0	25	0.00053
Myxococcia	32015	C	229	227	456	0.00969
Planctomycetia	203683	C	186	0	186	0.00395
Opitutae	414999	C	16	0	16	0.00034
Verrucomicrobiae	203494	C	11	3	14	0.00030
Desulfovibrionia	3031449	C	42	4	46	0.00098
Desulfuromonadia	3031651	C	36	1	37	0.00079
Desulfobacteria	3024418	C	10	0	10	0.00021
Vicinamibacteria	1813735	C	31	1	32	0.00068
Terriglobia	204432	C	29	0	29	0.00062
Holophagae	533205	C	14	0	14	0.00030
Epsilonproteobacteria	3031852	C	61	1	62	0.00132
Spirochaetia	203692	C	19	0	19	0.00040
Synergistia	649775	C	13	0	13	0.00028
Fusobacteriia	203490	C	10	0	10	0.00021
Mammalia	40674	C	1819	176	1995	0.04241
Eurotiomycetes	147545	C	111	5	116	0.00247
Sordariomycetes	147550	C	92	5	97	0.00206
Dothideomycetes	147541	C	60	1	61	0.00130
Saccharomycetes	4891	C	26	2	28	0.00060
Aconoidasida	422676	C	689	32	721	0.01533
Halobacteria	183963	C	290	0	290	0.00616
Methanomicrobia	224756	C	93	0	93	0.00198
Methanobacteria	183925	C	187	0	187	0.00397
Nitrososphaeria	1643678	C	26	0	26	0.00055
Herviviricetes	2731363	C	66	0	66	0.00140
Caudoviricetes	2731619	C	20	2	22	0.00047
