name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kocuria	57493	G	3077	480	3557	0.08058
Micrococcus	1269	G	499	167	666	0.01509
Arthrobacter	1663	G	267	35	302	0.00684
Citricoccus	169133	G	135	23	158	0.00358
Pseudarthrobacter	1742993	G	48	8	56	0.00127
Glutamicibacter	1742989	G	35	9	44	0.00100
Rothia	32207	G	23	5	28	0.00063
Sinomonas	596707	G	19	2	21	0.00048
Paenarthrobacter	1742992	G	19	18	37	0.00084
Ornithinimicrobium	125287	G	1358	162	1520	0.03443
Serinicoccus	265976	G	429	57	486	0.01101
Microbacterium	33882	G	752	125	877	0.01987
Agrococcus	46352	G	152	33	185	0.00419
Curtobacterium	2034	G	121	14	135	0.00306
Agromyces	33877	G	89	18	107	0.00242
Leucobacter	55968	G	53	7	60	0.00136
Rathayibacter	33886	G	34	4	38	0.00086
Clavibacter	1573	G	33	7	40	0.00091
Leifsonia	110932	G	26	3	29	0.00066
Cryobacterium	69578	G	24	2	26	0.00059
Microcella	337004	G	23	4	27	0.00061
Protaetiibacter	2680004	G	18	5	23	0.00052
Salinibacterium	235888	G	15	1	16	0.00036
Mycetocola	76634	G	10	0	10	0.00023
Frigoribacterium	96492	G	10	2	12	0.00027
Gulosibacter	256818	G	10	2	12	0.00027
Cnuibacter	1759331	G	10	1	11	0.00025
Frondihabitans	447237	G	10	0	10	0.00023
Janibacter	53457	G	356	43	399	0.00904
Phycicoccus	367298	G	47	7	54	0.00122
Intrasporangium	53357	G	29	2	31	0.00070
Pedococcus	2805645	G	23	3	26	0.00059
Arsenicicoccus	267408	G	20	4	24	0.00054
Tetrasphaera	99479	G	15	1	16	0.00036
Brachybacterium	43668	G	432	112	544	0.01232
Cellulomonas	1707	G	348	48	396	0.00897
Actinotalea	458839	G	29	6	35	0.00079
Paraoerskovia	665568	G	14	1	15	0.00034
Georgenia	154116	G	205	33	238	0.00539
Cellulosimicrobium	157920	G	82	14	96	0.00217
Isoptericola	254250	G	32	5	37	0.00084
Xylanimonas	186188	G	22	2	24	0.00054
Brevibacterium	1696	G	98	17	115	0.00261
Barrientosiimonas	1535207	G	20	12	32	0.00072
Dermacoccus	57495	G	12	3	15	0.00034
Yimella	908935	G	10	1	11	0.00025
Ruania	626119	G	28	1	29	0.00066
Occultella	2828348	G	12	0	12	0.00027
Kytococcus	57499	G	30	5	35	0.00079
Sanguibacter	60919	G	27	3	30	0.00068
Demequina	577469	G	25	3	28	0.00063
Gephyromycinifex	2885697	G	14	0	14	0.00032
Austwickia	1184606	G	10	0	10	0.00023
Luteimicrobium	754249	G	13	1	14	0.00032
Pengzhenrongella	2888818	G	11	1	12	0.00027
Beutenbergia	84756	G	10	0	10	0.00023
Jonesia	43673	G	16	1	17	0.00039
Nocardioides	1839	G	3162	340	3502	0.07933
Aeromicrobium	2040	G	115	11	126	0.00285
Pimelobacter	2044	G	43	16	59	0.00134
Friedmanniella	53387	G	16	1	17	0.00039
Mumia	1546255	G	14	1	15	0.00034
Micropruina	116071	G	13	1	14	0.00032
Solicola	3024237	G	13	0	13	0.00029
Tessaracoccus	72763	G	505	61	566	0.01282
Propioniciclava	1085622	G	91	30	121	0.00274
Brooklawnia	369926	G	63	14	77	0.00174
Raineyella	1911549	G	60	9	69	0.00156
Microlunatus	29404	G	46	2	48	0.00109
Cutibacterium	1912216	G	30	2	32	0.00072
Acidipropionibacterium	1912215	G	26	6	32	0.00072
Propionibacterium	1743	G	18	12	30	0.00068
Arachnia	2801844	G	16	0	16	0.00036
Auraticoccus	1278221	G	14	1	15	0.00034
Propionimicrobium	203133	G	10	0	10	0.00023
Kribbella	182639	G	29	2	31	0.00070
Actinopolymorpha	117156	G	12	0	12	0.00027
Mycolicibacterium	1866885	G	423	38	461	0.01044
Mycobacterium	1763	G	195	23	218	0.00494
Mycolicibacter	1073531	G	30	12	42	0.00095
Dietzia	37914	G	704	133	837	0.01896
Corynebacterium	1716	G	672	76	748	0.01695
Rhodococcus	1827	G	348	41	389	0.00881
Nocardia	1817	G	135	9	144	0.00326
Prescottella	2979332	G	17	2	19	0.00043
Gordonia	2053	G	130	15	145	0.00328
Tsukamurella	2060	G	23	1	24	0.00054
Tomitella	741759	G	10	0	10	0.00023
Streptomyces	1883	G	1717	379	2096	0.04748
Kitasatospora	2063	G	36	8	44	0.00100
Streptacidiphilus	228398	G	14	2	16	0.00036
Yinghuangia	2805681	G	10	0	10	0.00023
Micromonospora	1873	G	338	47	385	0.00872
Actinoplanes	1865	G	94	7	101	0.00229
Dactylosporangium	35753	G	51	3	54	0.00122
Plantactinospora	673534	G	23	3	26	0.00059
Actinocatenispora	390988	G	20	1	21	0.00048
Phytohabitans	907364	G	18	1	19	0.00043
Solwaraspora	265431	G	14	1	15	0.00034
Amycolatopsis	1813	G	159	19	178	0.00403
Pseudonocardia	1847	G	106	12	118	0.00267
Saccharomonospora	1851	G	51	9	60	0.00136
Saccharopolyspora	1835	G	47	6	53	0.00120
Saccharothrix	2071	G	38	9	47	0.00106
Lentzea	165301	G	25	4	29	0.00066
Kutzneria	43356	G	22	6	28	0.00063
Umezawaea	583360	G	17	2	19	0.00043
Actinoalloteichus	65496	G	15	0	15	0.00034
Actinosynnema	40566	G	12	3	15	0.00034
Actinomadura	1988	G	75	9	84	0.00190
Thermomonospora	2019	G	19	3	22	0.00050
Nocardiopsis	2013	G	56	6	62	0.00140
Thermobifida	83677	G	13	1	14	0.00032
Nonomuraea	83681	G	41	3	44	0.00100
Streptosporangium	2000	G	13	1	14	0.00032
Thermobispora	147067	G	10	1	11	0.00025
Geodermatophilus	1860	G	75	16	91	0.00206
Blastococcus	38501	G	70	14	84	0.00190
Modestobacter	88138	G	49	10	59	0.00134
Bifidobacterium	1678	G	194	28	222	0.00503
Actinomyces	1654	G	85	8	93	0.00211
Schaalia	2529408	G	14	2	16	0.00036
Frankia	1854	G	21	0	21	0.00048
Pseudofrankia	2994363	G	11	0	11	0.00025
Jiangella	281472	G	23	2	25	0.00057
Nakamurella	53460	G	15	1	16	0.00036
Jatrophihabitans	1434010	G	12	0	12	0.00027
Kineococcus	33981	G	10	1	11	0.00025
Catenulispora	414878	G	10	0	10	0.00023
Iamia	467975	G	53	5	58	0.00131
Actinomarinicola	2789775	G	51	8	59	0.00134
Aquihabitans	1648491	G	29	5	34	0.00077
Dermatobacter	3075137	G	21	2	23	0.00052
Conexibacter	191494	G	33	5	38	0.00086
Baekduia	2600304	G	23	3	26	0.00059
Capillimicrobium	2976759	G	12	2	14	0.00032
Miltoncostaea	2843200	G	17	1	18	0.00041
Parafannyhessea	2847312	G	12	4	16	0.00036
Collinsella	102106	G	15	4	19	0.00043
Rubrobacter	42255	G	32	0	32	0.00072
Egicoccus	1755825	G	13	1	14	0.00032
Mesobacillus	2675231	G	457	44	501	0.01135
Bacillus	1386	G	189	152	341	0.00773
Neobacillus	2675232	G	69	7	76	0.00172
Priestia	2800373	G	63	10	73	0.00165
Fictibacillus	1329200	G	59	4	63	0.00143
Cytobacillus	2675230	G	47	7	54	0.00122
Lysinibacillus	400634	G	41	3	44	0.00100
Metabacillus	2675233	G	25	2	27	0.00061
Rossellomorea	2837508	G	25	2	27	0.00061
Peribacillus	2675229	G	17	3	20	0.00045
Halobacillus	45667	G	14	0	14	0.00032
Virgibacillus	84406	G	14	0	14	0.00032
Psychrobacillus	1221880	G	14	1	15	0.00034
Oceanobacillus	182709	G	13	0	13	0.00029
Niallia	2837506	G	11	1	12	0.00027
Geobacillus	129337	G	11	1	12	0.00027
Sutcliffiella	2837511	G	10	0	10	0.00023
Exiguobacterium	33986	G	1020	100	1120	0.02537
Planococcus	1372	G	529	42	571	0.01294
Jeotgalibacillus	157226	G	24	1	25	0.00057
Solibacillus	648800	G	22	2	24	0.00054
Sporosarcina	1569	G	21	1	22	0.00050
Kurthia	1649	G	15	6	21	0.00048
Paenisporosarcina	651660	G	11	1	12	0.00027
Staphylococcus	1279	G	133	20	153	0.00347
Salinicoccus	45669	G	34	3	37	0.00084
Macrococcus	69965	G	26	3	29	0.00066
Jeotgalicoccus	227979	G	25	1	26	0.00059
Mammaliicoccus	2803850	G	22	3	25	0.00057
Paenibacillus	44249	G	116	6	122	0.00276
Weissella	46255	G	38	3	41	0.00093
Limosilactobacillus	2742598	G	31	10	41	0.00093
Lactobacillus	1578	G	29	6	35	0.00079
Ligilactobacillus	2767887	G	11	2	13	0.00029
Desemzia	82800	G	120	36	156	0.00353
Streptococcus	1301	G	101	16	117	0.00265
Lactococcus	1357	G	10	1	11	0.00025
Enterococcus	1350	G	100	42	142	0.00322
Aerococcus	1375	G	52	14	66	0.00150
Globicatella	13075	G	15	2	17	0.00039
Clostridium	1485	G	663	24	687	0.01556
Sarcina	1266	G	18	0	18	0.00041
Blautia	572511	G	29	20	49	0.00111
Roseburia	841	G	11	5	16	0.00036
Butyrivibrio	830	G	11	1	12	0.00027
Mediterraneibacter	2316020	G	10	4	14	0.00032
Romboutsia	1501226	G	100	9	109	0.00247
Terrisporobacter	1505652	G	18	0	18	0.00041
Clostridioides	1870884	G	12	2	14	0.00032
Faecalibacterium	216851	G	34	10	44	0.00100
Ruminococcus	1263	G	19	0	19	0.00043
Vescimonas	2892396	G	10	4	14	0.00032
Turicibacter	191303	G	75	7	82	0.00186
Selenomonas	970	G	10	0	10	0.00023
Deinococcus	1298	G	92	1	93	0.00211
Nostoc	1177	G	15	6	21	0.00048
Synechococcus	1129	G	10	1	11	0.00025
Chroococcidiopsis	54298	G	10	0	10	0.00023
Pseudorhizobium	1903858	G	245	74	319	0.00723
Rhizobium	379	G	120	20	140	0.00317
Agrobacterium	357	G	33	11	44	0.00100
Neorhizobium	1525371	G	22	6	28	0.00063
Sinorhizobium	28105	G	40	7	47	0.00106
Ensifer	106591	G	12	1	13	0.00029
Shinella	323620	G	31	18	49	0.00111
Ciceribacter	1648508	G	19	2	21	0.00048
Bradyrhizobium	374	G	228	20	248	0.00562
Rhodopseudomonas	1073	G	30	7	37	0.00084
Microvirga	186650	G	124	9	133	0.00301
Methylobacterium	407	G	84	10	94	0.00213
Methylorubrum	2282523	G	15	10	25	0.00057
Mesorhizobium	68287	G	119	20	139	0.00315
Phyllobacterium	28100	G	11	0	11	0.00025
Aquibium	2911176	G	11	2	13	0.00029
Devosia	46913	G	75	5	80	0.00181
Pelagibacterium	1082930	G	13	2	15	0.00034
Ancylobacter	99	G	19	3	22	0.00050
Pseudolabrys	556257	G	10	1	11	0.00025
Bosea	85413	G	43	5	48	0.00109
Aureimonas	414371	G	15	5	20	0.00045
Martelella	293088	G	13	2	15	0.00034
Brucella	234	G	26	17	43	0.00097
Methylocystis	133	G	15	2	17	0.00039
Hyphomicrobium	81	G	10	0	10	0.00023
Phreatobacter	1632780	G	15	2	17	0.00039
Acuticoccus	1904377	G	11	0	11	0.00025
Paracoccus	265	G	883	145	1028	0.02329
Rhodobacter	1060	G	21	5	26	0.00059
Rhodovulum	34008	G	18	7	25	0.00057
Cereibacter	1653176	G	15	1	16	0.00036
Limimaricola	2211638	G	10	2	12	0.00027
Roseovarius	74030	G	18	4	22	0.00050
Sulfitobacter	60136	G	17	8	25	0.00057
Celeribacter	875170	G	14	10	24	0.00054
Leisingera	191028	G	14	1	15	0.00034
Phaeobacter	302485	G	10	2	12	0.00027
Sagittula	58842	G	10	6	16	0.00036
Sphingomonas	13687	G	249	33	282	0.00639
Sphingopyxis	165697	G	60	12	72	0.00163
Sphingobium	165695	G	57	42	99	0.00224
Novosphingobium	165696	G	47	12	59	0.00134
Rhizorhabdus	1649486	G	10	5	15	0.00034
Erythrobacter	1041	G	42	11	53	0.00120
Qipengyuania	1855416	G	22	7	29	0.00066
Croceicoccus	1295327	G	12	11	23	0.00052
Tsuneonella	2800686	G	11	1	12	0.00027
Croceibacterium	2676755	G	10	3	13	0.00029
Caenibius	2827482	G	10	3	13	0.00029
Sphingosinicella	335405	G	15	3	18	0.00041
Phenylobacterium	20	G	202	21	223	0.00505
Brevundimonas	41275	G	129	14	143	0.00324
Caulobacter	75	G	76	5	81	0.00183
Asticcacaulis	76890	G	10	0	10	0.00023
Azospirillum	191	G	59	6	65	0.00147
Skermanella	204447	G	38	10	48	0.00109
Roseomonas	125216	G	41	9	50	0.00113
Sediminicoccus	1706033	G	12	1	13	0.00029
Pseudoroseomonas	2870717	G	12	2	14	0.00032
Hypericibacter	2705399	G	14	0	14	0.00032
Stella	93	G	10	0	10	0.00023
Lysobacter	68	G	332	23	355	0.00804
Pseudoxanthomonas	83618	G	232	54	286	0.00648
Stenotrophomonas	40323	G	116	39	155	0.00351
Luteimonas	83614	G	114	11	125	0.00283
Thermomonas	141948	G	106	15	121	0.00274
Xanthomonas	338	G	98	23	121	0.00274
Arenimonas	490567	G	36	2	38	0.00086
Luteibacter	242605	G	14	1	15	0.00034
Rhodanobacter	75309	G	13	3	16	0.00036
Dyella	231454	G	10	2	12	0.00027
Pseudomonas	286	G	462	49	511	0.01158
Stutzerimonas	2901164	G	340	87	427	0.00967
Halopseudomonas	2901189	G	17	1	18	0.00041
Marinobacter	2742	G	29	0	29	0.00066
Acinetobacter	469	G	627	148	775	0.01756
Moraxella	475	G	12	0	12	0.00027
Psychrobacter	497	G	10	1	11	0.00025
Enterobacter	547	G	82	56	138	0.00313
Klebsiella	570	G	75	64	139	0.00315
Escherichia	561	G	18	743	761	0.01724
Leclercia	83654	G	15	4	19	0.00043
Citrobacter	544	G	14	3	17	0.00039
Cronobacter	413496	G	11	0	11	0.00025
Pantoea	53335	G	25	1	26	0.00059
Mixta	2100764	G	10	1	11	0.00025
Halomonas	2745	G	60	4	64	0.00145
Rheinheimera	67575	G	10	1	11	0.00025
Vibrio	662	G	55	5	60	0.00136
Aeromonas	642	G	49	18	67	0.00152
Methylomonas	416	G	12	1	13	0.00029
Shewanella	22	G	22	1	23	0.00052
Microbulbifer	48073	G	14	0	14	0.00032
Legionella	445	G	14	0	14	0.00032
Comamonas	283	G	78	37	115	0.00261
Variovorax	34072	G	61	10	71	0.00161
Diaphorobacter	238749	G	58	72	130	0.00295
Hydrogenophaga	47420	G	52	12	64	0.00145
Alicycliphilus	201096	G	43	56	99	0.00224
Acidovorax	12916	G	42	37	79	0.00179
Ramlibacter	174951	G	37	5	42	0.00095
Delftia	80865	G	21	40	61	0.00138
Rhodoferax	28065	G	20	4	24	0.00054
Ottowia	219181	G	13	2	15	0.00034
Paracidovorax	3051137	G	11	9	20	0.00045
Burkholderia	32008	G	111	23	134	0.00304
Paraburkholderia	1822464	G	59	5	64	0.00145
Cupriavidus	106589	G	55	11	66	0.00150
Ralstonia	48736	G	20	4	24	0.00054
Pandoraea	93217	G	17	1	18	0.00041
Caballeronia	1827195	G	11	2	13	0.00029
Massilia	149698	G	137	17	154	0.00349
Pseudoduganella	1522432	G	23	3	26	0.00059
Janthinobacterium	29580	G	14	1	15	0.00034
Achromobacter	222	G	73	20	93	0.00211
Bordetella	517	G	35	5	40	0.00091
Pigmentiphaga	152267	G	12	0	12	0.00027
Roseateles	93681	G	27	7	34	0.00077
Piscinibacter	1114981	G	19	3	22	0.00050
Caldimonas	196013	G	17	5	22	0.00050
Aquabacterium	92793	G	10	2	12	0.00027
Thauera	33057	G	121	40	161	0.00365
