name	In_01	In_03	In_05	In_08	In_15	In_24	In_29	In_41	In_50	In_60
Kocuria flava	0.06482	0.01594	0.09558	0.02896	0.06683	0.00741	0.01044	0.02762	0.00215	0
Kocuria rosea	0.04436	0.00626	0.0573	0.02091	0.03138	0.00295	0.00329	0.00763	0.00108	0
Kocuria turfanensis	0.01323	0.00143	0.0092	0.00556	0.00491	0	9.1e-4	0.00196	0	0
Kocuria palustris	0.00118	0.00182	0.00532	0.00395	0.0026	5.5e-4	0.00159	0.00225	0	0
Kocuria sp. KD4	8.3e-4	0.00302	0.0099	0.00756	7e-4	0	0.00262	0.00532	0	0
Kocuria rhizophila	6.7e-4	0.00136	0.00249	0.00192	5.3e-4	0	7.9e-4	0.00179	0	0
Arthrobacter sp. QXT-31	0.003	0	0.00127	0	9.1e-4	0	0	0	0	0
Arthrobacter sp. NEB 688	9.2e-4	0	9.8e-4	8.5e-4	6.1e-4	0	0	0.0013	0	0
Arthrobacter sp. FW305-BF8	6.7e-4	0	0	0	0	0	0	0	0	0
Arthrobacter sp. CDRTa11	5.1e-4	0	0	0	0	0	0	0	0	0
Arthrobacter sp. 24S4-2	6.1e-4	0	0	0	0	0	0	0	0	0
Arthrobacter sp. NicSoilC5	0.0015	0	0	0	0	0	0	0	0	0
Arthrobacter sp. PGP41	6.1e-4	0	0	0	0	0	0	0	0	0
Arthrobacter sp. FB24	6.7e-4	0	0	0	0	0	0	0	0	0
Arthrobacter sp. NicSoilB8	5.1e-4	0	0	0	0	0	0	0	0	0
Arthrobacter sp. Helios	5.1e-4	0	0	0	0	0	0	0	0	0
Arthrobacter sp. zg-Y820	6.7e-4	0	0	0	0	0	0	0	0	0
Arthrobacter sp. UKPF54-2	6.7e-4	0	0	0	0	0	0	0	0	0
Arthrobacter crystallopoietes	0.00194	0	6.7e-4	5.1e-4	7.6e-4	0	0	0	0	0
Arthrobacter sulfonylureivorans	6.1e-4	0	0	0	5e-4	0	0	0	0	0
Arthrobacter agilis	5.7e-4	0	9.5e-4	5.4e-4	4.7e-4	0	0	0	0	0
Pseudarthrobacter sp. L1SW	0.00147	0	0	0	0	0	0	0	0	0
Pseudarthrobacter sp. NS4	9.6e-4	0	0	0	0	0	0	0	0	0
Pseudarthrobacter phenanthrenivorans	0.00481	0	0	0	0	0	0	0	0	0
Pseudarthrobacter equi	6.4e-4	0	0	0	0	0	0	0	0	0
Pseudarthrobacter chlorophenolicus	5.1e-4	0	0	0	0	0	0	0	0	0
Pseudarthrobacter oxydans	4.5e-4	0	0	0	0	0	0	0	0	0
Citricoccus sp. SGAir0253	0.00446	0	0.00396	0.00192	0.00263	0	0	5.9e-4	0	0
Citricoccus sp. I39-566	0.00284	0	0.00197	0.0011	0.00202	0	0	0	0	0
Micrococcus terreus	8e-4	0.0011	0.00518	0.00254	0.0026	0	8.7e-4	0.00241	0.00153	0
Micrococcus lylae	7.3e-4	6.5e-4	0.00483	0.00223	0.0019	0	6e-4	0.00124	0	0
Micrococcus luteus	0.00188	0.00402	0.0233	0.01374	0.00986	0	0.00603	0.01425	0.00294	0.00199
Micrococcus porci	7.3e-4	0.00166	0.01158	0.0079	0.00494	0	0.00194	0.00447	0.00132	0
Glutamicibacter creatinolyticus	4.8e-4	0	0	5.1e-4	0	0	0	0	0	0
Glutamicibacter nicotianae	0.00134	0	0	0	7.3e-4	0	0	0	0	0
Rothia kristinae	4.5e-4	0	6.1e-4	0	0	0	0	0	0.00236	0
Sinomonas atrocyanea	3.8e-4	0	0	0	4.4e-4	0	0	0	0	0
Microbacterium sp. nov. GSS16	9.2e-4	0	0	0	0.00208	0	0	0.00101	0	0
Microbacterium sp. YJN-G	9.2e-4	0	0	0	6.4e-4	0	0	0	0	0
Microbacterium oryzae	0.0014	0	5.5e-4	0.00217	5.3e-4	0	0	0	0	0
Microbacterium atlanticum	7.6e-4	0	0	0	0	0	0	7.2e-4	0.00314	0
Microbacterium testaceum	7e-4	0	0.00153	0	4.4e-4	0	0	0	0	0
Microbacterium hominis	0.0028	0	0	0	0.00377	0	0	0	0	0
Microbacterium oxydans	9.9e-4	0	0	0	0.00114	0	0	0	0	0
Agrococcus sp. Marseille-Q4369	0.00303	0	0.00333	0.0024	0.0029	0	0	0.00238	0.00141	0
Agrococcus sp. SCSIO52902	0.00127	0	7.5e-4	6.8e-4	0.00123	0	0	8.5e-4	0	0
Agrococcus sp. SL85	9.9e-4	0	6.7e-4	0	4.7e-4	0	0	0	0	0
Agrococcus sp. REN33	9.6e-4	0	0	7.9e-4	5e-4	0	0	0	0	0
Agrococcus carbonis	0.00166	0	6.9e-4	6.2e-4	6.4e-4	0	0	0	0	0
Agromyces sp. LHK192	5.1e-4	0	0	0	0	0	0	0	0	0
Agromyces flavus	6.1e-4	0	5.5e-4	0	4.4e-4	0	0	0	0	0
Agromyces protaetiae	5.7e-4	0	6.4e-4	0	0	0	0	0	0	0
Agromyces aureus	4.8e-4	0	0	0	0	0	0	0	0	0
Cnuibacter physcomitrellae	6.1e-4	0	0	0	3.8e-4	0	0	0	0	0
Naasia aerilata	5.7e-4	0	0	0	0	0	0	0	0	0
Ornithinimicrobium flavum	0.0059	0.00321	0.02593	0.00864	0.02115	8.5e-4	0.00159	0.01366	0.00116	9.8e-4
Ornithinimicrobium sp. HY006	0.00344	0.00234	0.04121	0.0055	0.00673	0	0.00135	0.00245	0	0
